Liczba procesów potomnych     Dokładność obliczeń     Czas realizacji
          1                       0.00000001             2.823257 s 
          2                       0.00000001             1.411372 s
          4                       0.00000001             0.712669 s

          1                       0.000000001            28.172088 s
          2                       0.000000001            14.095637 s
          3                       0.000000001            11.453697 s
          4                       0.000000001            7.066831 s
          6                       0.000000001            5.727638 s
          8                       0.000000001            3.523894 s
          10                      0.000000001            3.698635 s
          100                     0.000000001            3.550111 s
          1000                    0.000000001            3.201022 s 

          8                       0.0000000001           35.215668 s
                    
